Name,Latitude,Longitude,Elevation
T01,57.49921441,-3.086742896,364
T02,57.49626574,-3.082817716,329
T03,57.50206973,-3.088980479,349
T04,57.50196736,-3.082085466,357
T05,57.49891107,-3.07812382,343
T06,57.50024464,-3.071321578,310
T07,57.50513302,-3.085850762,347
T08,57.50465629,-3.077542275,359
T09,57.50827835,-3.08257274,351
T10,57.50542459,-3.070655631,311
T11,57.51184311,-3.080658605,351
T12,57.51081569,-3.073684523,369
T13,57.51666161,-3.078146735,369
T14,57.51376046,-3.074939555,363
T15,57.49941809,-3.062837374,283
T16,57.50513916,-3.053340822,280
T17,57.50662266,-3.047792556,284
T18,57.50429684,-3.041183981,270
T19,57.50859585,-3.041656952,307
T20,57.51202849,-3.040436127,300
T21,57.50978499,-3.034697307,323
